Order_ID,Customer_ID,Restaurant_Name,Cuisine,Food_Item,City,Address,Order_Date,Time_Slot,Order_Amount,Delivery_Time,Rating,Discount_Used,Is_Weekend,Year,Month,Day_of_Week,Is_Delayed,Estimated_Distance_km
ORD1000,CUST5550,Sujata Mastani,Continental,Stuffed Bell Peppers,Pune,"93, Area 6, Pune",2023-07-05,14:00-16:00,629.28,45,2.2,False,False,2023,7,Wednesday,False,15.0
ORD1001,CUST2214,Martin’s Corner,Italian,Caprese Salad,Goa,"55, Area 3, Goa",2023-07-17,20:00-22:00,1004.54,114,4.2,False,False,2023,7,Monday,True,38.0
ORD1002,CUST6065,Sandy's Chocolate Laboratory,Continental,Fish & Chips,Chennai,"36, Area 15, Chennai",2023-12-10,12:00-14:00,624.45,55,2.3,False,True,2023,12,Sunday,False,18.3
ORD1003,CUST5898,Malaka Tuckshop,Italian,Lasagna,Pune,"82, Area 24, Pune",2023-07-31,10:00-12:00,1914.66,50,3.0,False,False,2023,7,Monday,False,16.7
ORD1004,CUST2291,Le Arabia,Indian,Butter Chicken,Thiruvananthapuram,"14, Area 20, Thiruvananthapuram",2023-11-21,18:00-20:00,1958.43,33,2.2,False,False,2023,11,Tuesday,False,11.0
ORD1005,CUST1797,Mising Kitchen,Continental,Grilled Salmon,Guwahati,"67, Area 21, Guwahati",2023-03-16,12:00-14:00,974.49,118,2.3,False,False,2023,3,Thursday,True,39.3
ORD1006,CUST5889,Mosaic – Country Inn,Indian,Rajma Chawal,Mysore,"6, Area 21, Mysore",2023-03-30,12:00-14:00,1031.03,106,2.9,False,False,2023,3,Thursday,True,35.3
ORD1007,CUST7915,Charming Chicken,Chinese,Veg Momos,Amritsar,"5, Area 8, Amritsar",2023-11-30,10:00-12:00,1686.87,96,2.8,False,False,2023,11,Thursday,True,32.0
ORD1008,CUST8392,Tunday Kababi,Indian,Biryani,Lucknow,"14, Area 1, Lucknow",2023-08-26,16:00-18:00,850.59,50,2.8,False,True,2023,8,Saturday,False,16.7
ORD1009,CUST6640,Ming Garden,Chinese,Dim Sum,Visakhapatnam,"33, Area 10, Visakhapatnam",2023-11-11,12:00-14:00,978.4,107,3.9,False,True,2023,11,Saturday,True,35.7
ORD1010,CUST5937,The Square – Novotel,Continental,Fish & Chips,Visakhapatnam,"22, Area 8, Visakhapatnam",2023-03-26,20:00-22:00,962.9,101,1.7,False,True,2023,3,Sunday,True,33.7
ORD1011,CUST2530,The Creative Kitchen,Indian,Malai Kofta,Indore,"32, Area 16, Indore",2023-04-02,12:00-14:00,353.85,26,4.8,False,True,2023,4,Sunday,False,8.7
ORD1012,CUST5764,Peacock Rooftop,Chinese,Honey Chilli Potatoes,Jaipur,"17, Area 7, Jaipur",2023-07-04,14:00-16:00,1059.73,104,3.8,False,False,2023,7,Tuesday,True,34.7
ORD1013,CUST7690,Pista House,Continental,French Onion Soup,Hyderabad,"10, Area 7, Hyderabad",2023-01-02,12:00-14:00,738.6,100,1.8,False,False,2023,1,Monday,True,33.3
ORD1014,CUST9486,Kalita Spectrum,Indian,Dal Makhani,Guwahati,"13, Area 19, Guwahati",2023-01-26,10:00-12:00,497.39,38,1.4,False,False,2023,1,Thursday,False,12.7
ORD1015,CUST6153,Khyber,Italian,Arancini,Mumbai,"32, Area 13, Mumbai",2023-08-20,14:00-16:00,288.56,103,1.6,False,True,2023,8,Sunday,True,34.3
ORD1016,CUST9453,La Roma,Indian,Dal Makhani,Amritsar,"7, Area 17, Amritsar",2023-07-05,20:00-22:00,1785.32,60,4.2,False,False,2023,7,Wednesday,False,20.0
ORD1017,CUST8219,Orchid Lounge,Italian,Risotto,Chandigarh,"86, Area 21, Chandigarh",2023-12-28,10:00-12:00,1667.1,36,3.8,False,False,2023,12,Thursday,False,12.0
ORD1018,CUST3501,Kalita Spectrum,Italian,Lasagna,Guwahati,"13, Area 19, Guwahati",2023-11-10,14:00-16:00,1566.77,83,2.4,False,False,2023,11,Friday,True,27.7
ORD1019,CUST3040,Apna Sweets,Continental,Caesar Salad,Indore,"7, Area 12, Indore",2023-02-16,18:00-20:00,449.95,74,3.4,False,False,2023,2,Thursday,True,24.7
ORD1020,CUST6189,Cafe Graffiti,Chinese,Hot and Sour Soup,Hyderabad,"98, Area 22, Hyderabad",2023-10-22,18:00-20:00,229.28,97,1.5,False,True,2023,10,Sunday,True,32.3
ORD1021,CUST7096,Pyramid Café Lounge,Continental,Chicken Stroganoff,Amritsar,"74, Area 16, Amritsar",2023-01-04,20:00-22:00,1070.17,56,1.3,False,False,2023,1,Wednesday,False,18.7
ORD1022,CUST7113,Castle Black,Indian,Biryani,Lucknow,"3, Area 22, Lucknow",2023-06-17,16:00-18:00,1587.01,77,3.1,False,True,2023,6,Saturday,True,25.7
ORD1023,CUST2164,Square by Sayaji,Italian,Arancini,Indore,"37, Area 22, Indore",2023-01-23,12:00-14:00,1400.26,52,4.1,False,False,2023,1,Monday,False,17.3
ORD1024,CUST9577,Barbeque Nation,Italian,Tiramisu,Visakhapatnam,"57, Area 12, Visakhapatnam",2023-05-08,18:00-20:00,528.48,94,1.9,False,False,2023,5,Monday,True,31.3
ORD1025,CUST7611,Sankalp,Chinese,Manchurian,Chandigarh,"63, Area 13, Chandigarh",2023-09-12,18:00-20:00,1370.31,93,1.1,False,False,2023,9,Tuesday,True,31.0
ORD1026,CUST7802,Gufha,Continental,Eggs Benedict,Mysore,"72, Area 3, Mysore",2023-01-14,20:00-22:00,1131.88,26,1.3,False,True,2023,1,Saturday,False,8.7
ORD1027,CUST2606,Ohri's Jiva Imperia,Italian,Gnocchi,Hyderabad,"63, Area 9, Hyderabad",2023-07-19,16:00-18:00,1714.85,81,1.4,False,False,2023,7,Wednesday,True,27.0
ORD1028,CUST8586,The Eighteen Fine Dine,Continental,Caesar Salad,Indore,"85, Area 14, Indore",2023-06-05,12:00-14:00,1104.41,62,1.9,False,False,2023,6,Monday,True,20.7
ORD1029,CUST6433,17 Degrees,Italian,Cannelloni,Patna,"59, Area 6, Patna",2023-02-13,18:00-20:00,1316.76,110,3.0,False,False,2023,2,Monday,True,36.7
ORD1030,CUST8489,Britannia & Co.,Continental,Shepherd's Pie,Mumbai,"86, Area 3, Mumbai",2023-05-21,10:00-12:00,411.93,70,2.8,False,True,2023,5,Sunday,True,23.3
ORD1031,CUST9212,Copper Chimney,Italian,Pasta Alfredo,Chennai,"38, Area 5, Chennai",2023-01-20,16:00-18:00,1163.04,90,3.2,False,False,2023,1,Friday,True,30.0
ORD1032,CUST3072,Kava,Italian,Bruschetta,Lucknow,"34, Area 19, Lucknow",2023-04-27,16:00-18:00,1369.83,55,2.9,False,False,2023,4,Thursday,False,18.3
ORD1033,CUST6489,Kanha Sweets,Chinese,Fried Rice,Amritsar,"88, Area 9, Amritsar",2023-06-19,14:00-16:00,1342.23,80,1.5,False,False,2023,6,Monday,True,26.7
ORD1034,CUST7497,Cherries & Berries,Italian,Lasagna,Thiruvananthapuram,"52, Area 13, Thiruvananthapuram",2023-01-04,10:00-12:00,1313.07,55,2.5,False,False,2023,1,Wednesday,False,18.3
ORD1035,CUST5290,Apna Sweets,Continental,Eggs Benedict,Indore,"7, Area 12, Indore",2023-08-27,16:00-18:00,1710.38,88,3.8,False,True,2023,8,Sunday,True,29.3
ORD1036,CUST3364,Swati Snacks,Chinese,Sweet Corn Soup,Mumbai,"83, Area 23, Mumbai",2023-08-07,20:00-22:00,685.14,77,3.5,False,False,2023,8,Monday,True,25.7
ORD1037,CUST5695,Mainland China,Indian,Pani Puri,Patna,"55, Area 10, Patna",2023-10-28,10:00-12:00,1065.8,60,3.2,False,True,2023,10,Saturday,False,20.0
